Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options,category_group,horsepower,torque_nm,displacement_cc,weight_lbs,seat_height_in,fuel_capacity_gal,rating_clean,power_to_weight,hp_per_cc,quality_score,value_score,beginner_score,performance_score,touring_score,commuting_score,utility_base,cluster
honda,shadow 750 c-abs,2011,Custom / cruiser,3.5,745,44.9,64,V2,four-stroke,5-speed,79,76,14.6,Injection. PGM-FI electronic fuel injection with automatic choke ,Single Overhead Cams (SOHC),Liquid,Shaft drive,262,1640,658,Single disc,Single disc,120/90-M17,160/80-M15,"41mm telescopic fork, 116mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel ","Black, red/gray",Cruiser,44.9,64,745,577.6104399999999,25.905511811023622,3.8569112000000003,3.5,0.07773405203687109,0.06026845637583893,70,4.659205888482022,60,10.363294832340834,40,60,45.09082370808521,1
honda,shadow custom 400,2013,Custom / cruiser,NA,398,30.8,33,V2,four-stroke,5-speed,64,62,14,Injection. PGM-FI,Overhead Cams (OHC),Liquid,Shaft drive,244,1655,650,Single disc. Hyulic,Expanding brake (drum brake),90/90-21,160/80-15,Telescopic  fork,Swing arm,Marine/white,Cruiser,30.8,33,398,537.92728,25.590551181102363,3.698408,3.5,0.057256809879580754,0.07738693467336684,70,6.438471491975586,60,7.4280478968768024,40,60,44.357011974219205,1
honda,shadow rs,2010,Custom / cruiser,3.4,745,44.9,64,V2,four-stroke,5-speed,79,76,10.6,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Shaft drive,230,1562,747,Single disc,Expanding brake (drum brake),100/90-19,150/80-16,"41mm telescopic fork, 116mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel ","Pearl White, Metallic Gray",Cruiser,44.9,64,745,507.0626,29.40944881889764,2.8002232,3.4,0.08854922449417488,0.06026845637583893,68,4.659205888482022,60,11.913562274019448,40,60,45.17839056850487,1
honda,shadow slasher,2006,Custom / cruiser,3.3,398,32.2,35,V2,four-stroke,5-speed,64,62,11,NA,Overhead Cams (OHC),Air,NA,214,NA,755,Double disc,Single disc,NA,NA,NA,NA,NA,Cruiser,32.2,35,398,471.78867999999994,29.7244094488189,2.905892,3.3,0.06825089571882056,0.08090452261306533,66,6.804083617048243,80,9.003961123862217,40,60,49.15099028096555,1
honda,shadow slasher 400,2002,Custom / cruiser,3.6,398,33,35,V2,four-stroke,5-speed,64,62,13,Carburettor,Overhead Cams (OHC),Liquid,NA,217,1625,645,Single disc,Expanding brake,110/80-19 59S,160/80-15 M/C 74S,NA,NA,NA,Cruiser,33,35,398,478.40253999999993,25.393700787401578,3.4342360000000003,3.6,0.06897956687270097,0.0829145728643216,72,7.013004831375475,80,9.108410236440935,40,60,50.07710255911023,1
honda,silver wing,2002,Scooter,3.3,582,50.7,54,Twin,four-stroke,Automatic,72,71.5,16,Injection,NA,NA,NA,218,1595,740,Single disc,Single disc,120/80-14M/C 58S,150/70-13M/C 64S,NA,NA,NA,Scooter,50.7,54,582,480.60715999999996,29.133858267716537,4.226752,3.3,0.10549156196507768,0.08711340206185568,66,7.449424017489448,80,14.342109231616467,40,50,48.985527307904114,1
honda,silver wing,2003,Scooter,3.2,582,50,54,Twin,four-stroke,Automatic,72,71.5,16,NA,NA,NA,NA,218,NA,740,Single disc,Single disc,120/80-14,150/70-13,NA,NA,NA,Scooter,50,54,582,480.60715999999996,29.133858267716537,4.226752,3.2,0.104035070971477,0.0859106529209622,64,7.3244123114938136,80,14.133333035453974,40,50,48.633333258863495,1
honda,sky,2002,Scooter,3.7,49,1.9,2.8,Single cylinder,two-stroke,Automatic,39,41.4,4.5,NA,NA,NA,NA,71,1230,775,Single disc,Expanding brake,NA,NA,NA,NA,NA,Scooter,1.9,2.8,49,156.52802,30.511811023622048,1.188774,3.7,0.012138401801798808,0.03877551020408163,74,2.4252655126795233,100,0.9606892542396713,40,90,57.84017231355992,8
honda,sl 230,2002,Enduro / offroad,3.8,223,20,21,Single cylinder,four-stroke,6-speed,65.5,66.2,10,Carburettor,Overhead Cams (OHC),Air,NA,106,1340,805,Single disc,Single disc,NA,NA,NA,NA,NA,Adventure / Dual Sport,20,21,223,233.68971999999997,31.692913385826774,2.6417200000000003,3.8,0.08558356781804524,0.08968609865470852,76,7.7168257383859356,100,11.4884593913469,80,50,62.772114847836725,5
honda,st 1100 pan european,1993,Unspecified category,3.9,1084,100,110,V4,four-stroke,5-speed,NA,NA,28,NA,NA,NA,NA,279,NA,800,Dual disc,Single disc,NA,NA,NA,NA,NA,Other,100,110,1084,615.08898,31.496062992125985,7.396816,3.9,0.16257810374037265,0.09225092250922509,78,7.983409180210909,60,22.525002978493312,75,50,54.83125074462333,6
